"product_id";"name";"product_url";"model";"price";"price_dilar";"specialPrice";"description";"stock_status";"images";"aditional_images";"category";"manufacturer";"weight_class";"length_class";"weight";"length";"width";"height";"seo_keyword";"meta_description";"meta_keyword";"";"date_added"
"valp_7845";"Амортисьор за багажник на Jeep Compass";"https://portal.rnr75.com/index.php?route=product/product&product_id=7845";"COMPASS";"18.48";"9.1";"";"Амортисьор за багажник на Jeep Compass (2007-2016)<br />
Страна на монтаж : задна лява и дясна страна<br />
<br />
Дължина : 527 мм<br />
<br />
Ход на буталото : 163 мм<br />
<br />
Изтласкваща сила: 535 Нютон<br />
<br />
OEM : 5109514AB";"в наличност";"https://media.rnr75.com/productImages/Amortisori/Amortisiori_JEEP/PL0736-0.jpg";"";"ЕКСТЕРИОР > АМОРТИСЬОРИ";"JEEP";"бр.";"бр.";"0.5";"";"";"";"Амортисьор-за-багажник-на-jeep";"Амортисьор за багажник на Jeep Compass (2007-2016)<br />
Страна на монтаж : задна лява и дясна страна<br />
<br />
Дължина : 527 мм<br />
<br />
Ход на буталото : 163 мм<br />
<br />
Изтласкваща сила: 535 Нютон<br />
<br />
OEM : 5109514AB";"страна, амортисьор, багажник, compass, монтаж, задна, лява, дясна, дължина, ход";"";"30-07-2025 13:15"
"valp_7893";"Баласт модул за ксенон на Ford Focus";"https://portal.rnr75.com/index.php?route=product/product&product_id=7893";"FOCUS MK1";"5.28";"2.6";"";"<br />
Баласт модул за ксенон на Ford Focus (1998-2004)<br />
Напрежение : 12 V<br />
<br />
OEM : 3U0941641 / 4E0907476 / 63120150614 / 63126907488 / 63126916100 / 6907488 / 24406569 / 24417111 / 6235149 / 1211623 / 2M5112K072AA / 2M5Z13C170AA / C2S15079 / C2S52482 / YWC500430 / 0028202326 / 002820232664 / 28202326 / 2820232664 / A0028202326 / A002820232664 / 28474JD00B / 024406569 / 024417111 / 06235149 / 7701207033 / 7701207830 / XCA000010 / 12790592 / 1279592 / 5DV008290";"в наличност";"https://media.rnr75.com/productImages/Svetlini/Svetlini_Ford/PL0652-0.jpg";"";"ЕКСТЕРИОР > МОДУЛИ ЗА СВЕТЛИНИ";"FORD";"бр.";"бр.";"0.2";"";"";"";"Баласт-модул-за-ксенон-на";"<br />
Баласт модул за ксенон на Ford Focus (1998-2004)<br />
Напрежение : 12 V<br />
<br />
OEM : 3U0941641 / 4E0907476 / 63120150614 / 63126907488 / 63126916100 / 6907488 / 24406569 / 24417111 / 6235149 / 1211623 / 2M5112K072AA / 2M5Z13C170AA / C2S15079 / C2S52482 / YWC500430 / 0028202326 / 002820232664 / 28202326 / 2820232664 / A0028202326 / A002820232664 / 28474JD00B / 024406569 / 024417111 / 06235149 / 7701207033 / 7701207830 / XCA000010 / 12790592 / 1279592 / 5DV008290";"баласт, модул, ксенон, focus, напрежение, 3u0941641, 4e0907476, 63120150614, 63126907488, 63126916100";"";"17-09-2024 15:45"
"valp_7894";"Баласт модул за ксенон на Ford Focus C-Max";"https://portal.rnr75.com/index.php?route=product/product&product_id=7894";"C-MAX";"5.28";"2.6";"";"<br />
Баласт модул за ксенон на Ford Focus C-Max (2003-2007)<br />
Напрежение : 12 V<br />
<br />
OEM : 3U0941641 / 4E0907476 / 63120150614 / 63126907488 / 63126916100 / 6907488 / 24406569 / 24417111 / 6235149 / 1211623 / 2M5112K072AA / 2M5Z13C170AA / C2S15079 / C2S52482 / YWC500430 / 0028202326 / 002820232664 / 28202326 / 2820232664 / A0028202326 / A002820232664 / 28474JD00B / 024406569 / 024417111 / 06235149 / 7701207033 / 7701207830 / XCA000010 / 12790592 / 1279592 / 5DV008290<br />
<br />
 ";"в наличност";"https://media.rnr75.com/productImages/Svetlini/Svetlini_Ford/PL0652-0.jpg";"";"ЕКСТЕРИОР > МОДУЛИ ЗА СВЕТЛИНИ";"FORD";"бр.";"бр.";"0.2";"";"";"";"Баласт-модул-за-ксенон-на";"<br />
Баласт модул за ксенон на Ford Focus C-Max (2003-2007)<br />
Напрежение : 12 V<br />
<br />
OEM : 3U0941641 / 4E0907476 / 63120150614 / 63126907488 / 63126916100 / 6907488 / 24406569 / 24417111 / 6235149 / 1211623 / 2M5112K072AA / 2M5Z13C170AA / C2S15079 / C2S52482 / YWC500430 / 0028202326 / 002820232664 / 28202326 / 2820232664 / A0028202326 / A002820232664 / 28474JD00B / 024406569 / 024417111 / 06235149 / 7701207033 / 7701207830 / XCA000010 / 12790592 / 1279592 / 5DV008290<br />
<br />
 ";"баласт, модул, ксенон, focus, напрежение, 3u0941641, 4e0907476, 63120150614, 63126907488, 63126916100";"";"17-09-2024 15:45"
"valp_7895";"Електромотор за ръчна спирачка на BMW 5 F10 / F18";"https://portal.rnr75.com/index.php?route=product/product&product_id=7895";"СЕРИЯ 5 F10/F11/F18/F07";"5.28";"2.6";"";"Електромотор за ръчна спирачка на BMW 5 F10 / F18 (2010-2017)<br />
Резервна част за OEM:<br />
34436850289<br />
2214302949<br />
 ";"в наличност";"https://media.rnr75.com/productImages/Motori_za_rachni_spirachki/IZ244-1.jpg";"";"ЕКСТЕРИОР > МОТОРИ ЗА РЪЧНИ СПИРАЧКИ";"BMW";"бр.";"бр.";"0.2";"";"";"";"Електромотор-за-ръчна-спирачка-на";"Електромотор за ръчна спирачка на BMW 5 F10 / F18 (2010-2017)<br />
Резервна част за OEM:<br />
34436850289<br />
2214302949<br />
 ";"електромотор, ръчна, спирачка, резервна, част, 34436850289, 2214302949";"";"17-09-2024 15:45"
"valp_7897";"Стъкла за фарове на BMW 1 Facelift E87";"https://portal.rnr75.com/index.php?route=product/product&product_id=7897";"СЕРИЯ 1 E81/E82/E87/E88";"5.28";"2.6";"";"Електромотор за ръчна спирачка на BMW 5 F10 / F18 (2010-2017)<br />
Резервна част за OEM:<br />
34436850289<br />
2214302949<br />
 ";"в наличност";"https://media.rnr75.com/productImages/Motori_za_rachni_spirachki/IZ244-1.jpg";"";"ЕКСТЕРИОР > МОТОРИ ЗА РЪЧНИ СПИРАЧКИ";"BMW";"бр.";"бр.";"0.2";"";"";"";"Стъкла-за-фарове-на-bmw";"Електромотор за ръчна спирачка на BMW 5 F10 / F18 (2010-2017)<br />
Резервна част за OEM:<br />
34436850289<br />
2214302949<br />
 ";"електромотор, ръчна, спирачка, резервна, част, 34436850289, 2214302949";"";"17-09-2024 15:45"
"valp_7898";"Ремонтен комплект за Стъклоподемник за Hyundai Tucson MK3 - предна лява";"https://portal.rnr75.com/index.php?route=product/product&product_id=7898";"TUCSON";"60";"40";"";"Ремонтен комплект за Стъклоподемник за Hyundai Tucson MK3 (2015-2021) за предна лява врата";"с поръчка";"https://media.rnr75.com/productImages/window_regulator/S9582L.jpg";"https://media.rnr75.com/productImages/Butoni/KU718%203.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-3.jpg,https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-4.jpg,https://media.rnr75.com/productImages/Amortisori/Amortisiori_JEEP/PL0736-0.jpg,https://media.rnr75.com/productImages/Amortisori/Amortisiori_JEEP/PL0736-1.jpg";"РЕМОНТНИ КОМПЛЕКТИ > РЕМОНТЕН КОМПЛЕКТ ЗА СТЪКЛОПОДЕМНИК";"HYUNDAI";"бр.";"бр.";"5";"";"";"";"Ремонтен-комплект-за-Стъклоподемник-за";"Ремонтен комплект за Стъклоподемник за Hyundai Tucson MK3 (2015-2021) за предна лява врата";"ремонтен, комплект, стъклоподемник, hyundai, tucson, предна, лява, врата";"";"25-09-2025 10:46"
"valp_7899";"Ремонтен комплект за Стъклоподемник за Hyundai Tucson MK3 - предна дясна";"https://portal.rnr75.com/index.php?route=product/product&product_id=7899";"TUCSON";"60";"40";"";"Ремонтен комплект за Стъклоподемник за Hyundai Tucson MK3 (2015-2021) за предна дясна врата";"в наличност";"https://media.rnr75.com/productImages/window_regulator/S9582R.jpg";"";"РЕМОНТНИ КОМПЛЕКТИ > РЕМОНТЕН КОМПЛЕКТ ЗА СТЪКЛОПОДЕМНИК";"HYUNDAI";"бр.";"бр.";"";"";"";"";"Ремонтен-комплект-за-Стъклоподемник-за";"Ремонтен комплект за Стъклоподемник за Hyundai Tucson MK3 (2015-2021) за предна дясна врата";"ремонтен, комплект, стъклоподемник, hyundai, tucson, предна, дясна, врата";"";"25-09-2025 10:56"
"valp_7900";"Ролка за Стъклоподемник на Hyundai Tucson MK3 - предна лява";"https://portal.rnr75.com/index.php?route=product/product&product_id=7900";"TUCSON 3";"10";"6.67";"";"Ролка за Стъклоподемник на Hyundai Tucson MK3 (2015-2021) за предна лява врата";"в наличност";"https://media.rnr75.com/productImages/window_regulator/TMP0035-1.jpg";"";"РЕМОНТНИ КОМПЛЕКТИ > РОЛКА ЗА СТЪКЛОПОДЕМНИК";"HYUNDAI";"бр.";"бр.";"";"";"";"";"Ролка-за-Стъклоподемник-на-hyundai";"Ролка за Стъклоподемник на Hyundai Tucson MK3 (2015-2021) за предна лява врата";"ролка, стъклоподемник, hyundai, tucson, предна, лява, врата";"";"25-09-2025 11:00"
"valp_7901";"Ролка за Стъклоподемник на Hyundai Tucson MK3 - предна дясна";"https://portal.rnr75.com/index.php?route=product/product&product_id=7901";"TUCSON";"10";"6.67";"";"Ролка за Стъклоподемник на Hyundai Tucson MK3 (2015-2021) за предна дясна врата";"в наличност";"https://media.rnr75.com/productImages/window_regulator/TMP0034-1.jpg";"";"РЕМОНТНИ КОМПЛЕКТИ > РОЛКА ЗА СТЪКЛОПОДЕМНИК";"HYUNDAI";"бр.";"бр.";"";"";"";"";"Ролка-за-Стъклоподемник-на-hyundai";"Ролка за Стъклоподемник на Hyundai Tucson MK3 (2015-2021) за предна дясна врата";"ролка, стъклоподемник, hyundai, tucson, предна, дясна, врата";"";"25-09-2025 11:09"
"valp_7902";"TMS Модул за светлини на BMW 5 F10 1";"https://portal.rnr75.com/index.php?route=product/product&product_id=7902";"СЕРИЯ 5 F10/F11/F18/F07";"5.28";"2.6";"";"<br />
TMS Модул за светлини на BMW 5 F10<br />
BMW 5 Series F10 Pre-Facelift 2010, 2011, 2012, 2013<br />
BMW 5 Series F11 Pre-Facelift 2010, 2011, 2012, 2013<br />
BMW 5 Series F07 GT Gran Turismo Pre-Facelift 2008, 2009, 2010, 2011, 2012, 2013<br />
Пинове: 28 (6+7+15)";"в наличност";"https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-1.jpg";"";"ЕКСТЕРИОР > МОДУЛИ ЗА СВЕТЛИНИ";"BMW";"бр.";"бр.";"0.15";"";"";"";"tms-Модул-за-светлини-на";"<br />
TMS Модул за светлини на BMW 5 F10<br />
BMW 5 Series F10 Pre-Facelift 2010, 2011, 2012, 2013<br />
BMW 5 Series F11 Pre-Facelift 2010, 2011, 2012, 2013<br />
BMW 5 Series F07 GT Gran Turismo Pre-Facelift 2008, 2009, 2010, 2011, 2012, 2013<br />
Пинове: 28 (6+7+15)";"series, facelift, модул, светлини, turismo, пинове";"";"17-09-2024 15:45"
"valp_7903";"Топка за скоростен лост BMW G0034R Червен";"https://portal.rnr75.com/index.php?route=product/product&product_id=7903";"СЕРИЯ 1 E81/E82/E87/E88";"4.8";"3.2";"";"Топка за скоростен лост BMW<br />
<br />
1 Серия E81, E82, E87, E88<br />
3 Серия E30, E36, E46, E90, E91, E92, E93<br />
5 Серия E34, E39, E60, E61<br />
6 Серия E63<br />
7 Серия E32, E38<br />
X1 Серия E84<br />
X3 Серия E83<br />
X5 Серия E53<br />
Z3 Серия E36/7, E36/8<br />
Z4 Серия E85, E86<br />
Z8 Серия E52<br />
6 скорости<br />
Цвят: Червен";"в наличност";"https://media.rnr75.com/productImages/Topki/Topki_BMW/G0034R-1-1024x768.jpg";"https://media.rnr75.com/productImages/Butoni/KU718%203.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-3.jpg,https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-4.jpg,https://media.rnr75.com/productImages/Amortisori/Amortisiori_JEEP/PL0736-0.jpg,https://media.rnr75.com/productImages/Amortisori/Amortisiori_JEEP/PL0736-1.jpg,https://media.rnr75.com/productImages/Topki/Topki_BMW/G0034R-2-1024x768.jpg,https://media.rnr75.com/productImages/Topki/Topki_BMW/G0034R-3-1024x768-80x80w.jpg";"ИНТЕРИОР > ТОПКИ И МАНШОНИ";"BMW";"бр.";"бр.";"0.09";"";"";"";"Топка-за-скоростен-лост-bmw";"Топка за скоростен лост BMW<br />
<br />
1 Серия E81, E82, E87, E88<br />
3 Серия E30, E36, E46, E90, E91, E92, E93<br />
5 Серия E34, E39, E60, E61<br />
6 Серия E63<br />
7 Серия E32, E38<br />
X1 Серия E84<br />
X3 Серия E83<br />
X5 Серия E53<br />
Z3 Серия E36/7, E36/8<br />
Z4 Серия E85, E86<br />
Z8 Серия E52<br />
6 скорости<br />
Цвят: Червен";"серия, топка, скоростен, лост, скорости, цвят, червен";"";"17-09-2024 15:45"
"valp_7904";"Топка за скоростен лост BMW G0034 Черен";"https://portal.rnr75.com/index.php?route=product/product&product_id=7904";"СЕРИЯ 1 E81/E82/E87/E88";"4.8";"2.6";"";"Топка за скоростен лост BMW<br />
<br />
1 Серия E81, E82, E87, E88<br />
3 Серия E30, E36, E46, E90, E91, E92, E93<br />
5 Серия E34, E39, E60, E61<br />
6 Серия E63<br />
7 Серия E32, E38<br />
X1 Серия E84<br />
X3 Серия E83<br />
X5 Серия E53<br />
Z3 Серия E36/7, E36/8<br />
Z4 Серия E85, E86<br />
Z8 Серия E52<br />
Модел: G0034<br />
Скорости: 6 <br />
Тип на материала: пластмаса и еко кожа<br />
Монтаж: бърз и лесен<br />
Цвят: черен - с дупки<br />
Цена: за брой";"в наличност";"https://media.rnr75.com/productImages/Topki/Topki_BMW/G0033-1-1024x768.jpg";"https://media.rnr75.com/productImages/Butoni/KU718%203.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Butoni/X0120.jpg,https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-3.jpg,https://media.rnr75.com/productImages/Svetlini/Svetlini_BMW/KU35012-4.jpg,https://media.rnr75.com/productImages/Amortisori/Amortisiori_JEEP/PL0736-0.jpg,https://media.rnr75.com/productImages/Amortisori/Amortisiori_JEEP/PL0736-1.jpg,https://media.rnr75.com/productImages/Topki/Topki_BMW/G0034R-2-1024x768.jpg,https://media.rnr75.com/productImages/Topki/Topki_BMW/G0034R-3-1024x768-80x80w.jpg,https://media.rnr75.com/productImages/Topki/Topki_BMW/G0033-2-1024x768-80x80w.jpg,https://media.rnr75.com/productImages/Topki/Topki_BMW/G0033-4-1024x768-80x80w.jpg";"ИНТЕРИОР > ТОПКИ И МАНШОНИ";"BMW";"бр.";"бр.";"0.09";"";"";"";"Топка-за-скоростен-лост-bmw";"Топка за скоростен лост BMW<br />
<br />
1 Серия E81, E82, E87, E88<br />
3 Серия E30, E36, E46, E90, E91, E92, E93<br />
5 Серия E34, E39, E60, E61<br />
6 Серия E63<br />
7 Серия E32, E38<br />
X1 Серия E84<br />
X3 Серия E83<br />
X5 Серия E53<br />
Z3 Серия E36/7, E36/8<br />
Z4 Серия E85, E86<br />
Z8 Серия E52<br />
Модел: G0034<br />
Скорости: 6 <br />
Тип на материала: пластмаса и еко кожа<br />
Монтаж: бърз и лесен<br />
Цвят: черен - с дупки<br />
Цена: за брой";"серия, топка, скоростен, лост, модел, g0034, скорости, тип, материала, пластмаса";"";"17-09-2024 15:45"
